,CO_PPM,humidity,temperature,timestamp
425,3.70158,74.0,23.7,1645981759.0
426,3.6101900000000002,74.0,23.7,1645981769.0
427,3.7229900000000002,74.0,23.7,1645981778.0
428,3.69447,74.0,23.7,1645981788.0
429,3.7229900000000002,74.0,23.7,1645981798.0
430,4.06742,74.0,23.7,1645981808.0
431,3.7087,73.0,23.7,1645981818.0
432,3.68028,73.0,23.7,1645981828.0
433,3.59633,73.0,23.7,1645981839.0
434,3.70158,73.0,23.7,1645981849.0
435,3.65911,73.0,23.7,1645981859.0
436,3.68737,73.0,23.7,1645981869.0
437,3.65911,73.0,23.7,1645981879.0
438,3.66615,73.0,23.7,1645981889.0
439,3.59633,73.0,23.7,1645981899.0
440,3.68028,73.0,23.6,1645981909.0
441,3.65911,73.0,23.6,1645981919.0
442,3.65208,73.0,23.6,1645981929.0
443,3.65911,73.0,23.6,1645981939.0
444,3.65208,73.0,23.6,1645981949.0
445,3.5687699999999998,73.0,23.6,1645981959.0
446,3.63108,73.0,23.6,1645981969.0
447,3.6241,73.0,23.6,1645981979.0
448,3.58252,73.0,23.6,1645981989.0
449,3.6101900000000002,73.0,23.6,1645981999.0
450,3.6241,73.0,23.6,1645982009.0
451,3.52783,73.0,23.6,1645982019.0
452,3.6101900000000002,73.0,23.6,1645982029.0
453,3.63108,73.0,23.6,1645982039.0
454,3.6101900000000002,73.0,23.6,1645982049.0
455,3.6101900000000002,73.0,23.6,1645982059.0
456,3.6241,73.0,23.6,1645982069.0
457,3.5210600000000003,73.0,23.6,1645982079.0
458,3.60325,73.0,23.5,1645982089.0
459,3.59633,73.0,23.5,1645982099.0
460,3.6241,73.0,23.5,1645982109.0
461,3.59633,73.0,23.5,1645982119.0
462,3.60325,73.0,23.5,1645982129.0
463,3.56192,73.0,23.5,1645982139.0
464,3.61714,73.0,23.5,1645982149.0
465,3.59633,73.0,23.5,1645982159.0
466,3.59633,73.0,23.5,1645982169.0
467,3.59633,73.0,23.5,1645982179.0
468,3.59633,73.0,23.5,1645982189.0
469,3.46731,73.0,23.5,1645982199.0
