,CO_PPM,humidity,temperature,timestamp
-Mvc_7Aobzg3mOzY3IXo,4.30883,41.0,20.6,1644579553.0
-Mvc_9cAPfLXet8ggLKa,4.16216,41.0,20.6,1644579563.0
-Mvc_Cd_VYIupPB5D-Uq,3.80241,41.0,20.6,1644579576.0
-Mvc_EVbLmwOsR8ueiUk,3.57548,41.0,20.6,1644579583.0
-Mvc_Gwwz2mVREOB4Lwv,3.45385,41.0,20.5,1644579593.0
-Mvc_JO9yhMCyB-nAeBs,3.4805200000000003,41.0,20.4,1644579603.0
-Mvc_M2ZNofyr64l3mqw,3.6589400000000003,41.0,20.3,1644579613.0
-Mvc_OGjoTJSIiu0VlGX,3.63091,41.0,20.2,1644579623.0
-Mvc_QhxI0fnrGvtKdQn,3.6730400000000003,41.0,20.1,1644579633.0
-Mvc_TDXQ96My4BzsXDD,3.4208,41.0,20.0,1644579644.0
-MvoSlb4jRjcmfek-OfA,7.38203,48.0,21.4,1644778952.0
-MvoSo2N6U1osLLca-Gu,8.58493,47.0,21.4,1644778962.0
-MvoSqUfOGNSrJ8nTaQ9,9.27775,47.0,21.4,1644778972.0
-MvoSsvpcjhQE2QKiiqb,9.01147,47.0,21.4,1644778982.0
-MvoSvNBhcs4bF-1EfUg,9.44138,47.0,21.4,1644778992.0
-MvoSxoNHplHWOQZOTcm,9.45974,47.0,21.5,1644779002.0
-MvoT-JTjmMEZCi6TGu8,9.04651,47.0,21.5,1644779013.0
-MvoT1gyuN1E5vL617Tu,9.60797,47.0,21.5,1644779023.0
-MvoT48KWpxnFC1bQEjw,9.87313,46.0,21.5,1644779033.0
-MvoT6_SjAkwJjqV6coJ,9.95026,46.0,21.5,1644779043.0
-MvoT90gdjxu42J8_vM-,10.16559,46.0,21.5,1644779053.0
-MvoTBT3N4-SZ7xDPfCl,10.22514,46.0,21.6,1644779063.0
-MvoTDzfwDNG9c4F9tf6,9.8348,46.0,21.6,1644779073.0
-MvoTGLZKGdDGcTgeU1H,10.00852,46.0,21.6,1644779083.0
-MvoTImk9KgEt_H6O5NA,10.02802,46.0,21.7,1644779093.0
-MvoTLE27ILuOF-sytkH,9.98906,46.0,21.7,1644779103.0
-MvoTNfJRjd6o8aVmyEy,9.98906,46.0,21.8,1644779113.0
-MvoTQ6vW4PElvDk0dlS,10.00852,46.0,21.7,1644779123.0
-MvoTSqHvyhrlGWqCuRU,15.71017,46.0,21.7,1644779133.0
-MvoTV-8LOCGLqkuUu04,10.61073,46.0,21.8,1644779143.0
-MvoTXRM9nZRMf2SfPxh,10.84078,46.0,21.8,1644779153.0
-MvoTZsalKeuR_y0AmW4,11.33855,46.0,21.8,1644779163.0
-MvoTbJxeKF-0TMSABwl,10.67297,46.0,21.9,1644779173.0
-MvoTdl7vV_U3-eYsmo1,10.65218,46.0,21.9,1644779183.0
-MvoTgJd6Ms74Ziyzeps,10.16559,46.0,22.0,1644779193.0
-MvoTidf9qpcjgNH8BBM,12.23718,46.0,22.0,1644779203.0
-MvoTl4tbV630XIyny0a,9.27775,46.0,22.6,1644779213.0
-MvoTnXA0fm32No-Q7Z1,9.85394,46.0,23.3,1644779223.0
-MvoTqu3tjUtfUCIRP-C,4.22269,45.0,23.7,1644779235.0
-MvoTt-nJ8E9-AX35zF3,5.06525,44.0,23.8,1644779244.0
-MvoTvS0FGsRoc4Leo-A,10.02876,43.0,23.8,1644779254.0
-MvoTxtKTiDu4ABRFgEw,3.65623,43.0,23.7,1644779264.0
-MvoU-KZVWH8g98VZzmK,3.80856,43.0,23.6,1644779274.0
-MvoU48H8CHuFFTOPXQp,3.95183,43.0,23.6,1644779293.0
-MvoU6FPXXrJXOe9quDy,6.36514,43.0,23.4,1644779302.0
-MvoU8gmGzB2qxODICRD,6.10746,43.0,23.3,1644779312.0
-MvoUB7wGhZTzeW1vlgU,6.10746,43.0,23.3,1644779322.0
-MvoUD_67lDh8hgrSxGY,6.30278,43.0,23.2,1644779332.0
-MvoUG0RFil5XMMnELXr,5.38681,44.0,23.3,1644779342.0
-MvoUISePwdD7z4lHg4M,5.09976,44.0,23.3,1644779352.0
-MvoUKwVpjvq5ftOpyQw,4.9622,44.0,23.4,1644779363.0
-MvoUNLIJSWF8PGpenH4,5.08981,44.0,23.4,1644779373.0
-MvoUPmRNLs0W-CGt5tS,5.38681,44.0,23.4,1644779383.0
-MvoUSDj9XVRx6Q6apht,5.47186,43.0,23.4,1644779393.0
-MvoUUf-Po95ZuVuOvRE,5.42916,43.0,23.3,1644779403.0
-MvoUX6DH4QRCVtNoQK7,5.50411,43.0,23.3,1644779413.0
-MvoUZdRSE4O-ZmX3wpP,5.13978,43.0,23.2,1644779423.0
-MvoUazmptDcTJ0K9xxA,5.47186,44.0,23.1,1644779433.0
-MvoUdRAOgWdJ7KgdF8v,5.45047,44.0,23.1,1644779443.0
-MvoUfsFTst6Z4L3D791,5.66833,44.0,23.1,1644779453.0
-MvoUiJUorBIBhB5q7Ny,5.38681,44.0,23.0,1644779463.0
-MvoUkkm8dJEOKoyrJXW,5.72419,44.0,22.9,1644779473.0
-MvoUnU_muum5ffhsWnd,5.65723,44.0,22.9,1644779483.0
-MvoUpdRgvdCK7whYEmm,5.76928,44.0,22.9,1644779493.0
-MvoUs4bzIJEFhgP3WWs,5.75797,44.0,22.8,1644779503.0
-MvoUuWvmD53ZNGLvbPA,5.81475,44.0,22.8,1644779513.0
-MvoUwy25wUTJrOqPUd3,5.52571,44.0,22.7,1644779523.0
-MvoVPZ8mG2pRR2iuHXf,4.59794,,,1644779643.0
-MvoVRfUikRKFnMVIATA,6.00434,47.0,22.4,1644779652.0
-MvoVU6cBrFWOZLne96x,6.50172,47.0,22.3,1644779662.0
-MvoVWYtUjd9kxY_Zn7g,6.62931,47.0,22.5,1644779672.0
-MvoVZ-eKvL3NCRMe4NN,6.81228,49.0,23.5,1644779682.0
-MvoVaRUcfLXottggp3J,6.8788800000000005,47.0,24.6,1644779692.0
-MvoVcsiqZ8k-sjTQUNV,6.66809,47.0,26.4,1644779702.0
-MvoVfOQVGI-9lpQkXgS,6.64222,50.0,32.3,1644779713.0
-MvoVhlB1CvMFmSADBvk,6.83884,43.0,33.9,1644779723.0
-MvoVkCZ-JkOtGW5ZefI,6.9057,37.0,40.9,1644779733.0
-MvoVmdqIuBGCpg69_VW,6.93263,30.0,45.9,1644779743.0
-MvoVp56kT9G8i4bCikj,6.93263,26.0,46.1,1644779753.0
-MvoVrXGWCRzf4r9fFcW,6.93263,24.0,45.8,1644779763.0
-MvoVu3X924i-hJoGgem,6.4139100000000004,22.0,44.1,1644779773.0
-MvoVwQ66t66PSxdSnBZ,6.97323,24.0,42.0,1644779783.0
-MvoVyr9ZgpfipT2QNDh,6.93263,27.0,36.5,1644779793.0
-MvoW0IY6FAl8S-QjK09,7.04145,38.0,34.9,1644779803.0
-MvoW2jge3mB53r-z-S0,7.11035,45.0,33.4,1644779813.0
-MvoW5AvUXkkYpibQhDZ,7.17994,52.0,32.2,1644779823.0
-MvoW7unEbzIqW7ygpax,6.75948,55.0,34.2,1644779833.0
-MvoWA3K0HezZUQjInA3,7.0827,59.0,33.5,1644779843.0
-MvoWCVaaM1o4jLDrArF,7.05517,61.0,33.0,1644779853.0
-MvoWEwuTGAfiKuQF0QI,7.17994,65.0,32.5,1644779863.0
-MvoWHODLDWJgbEL915L,6.68107,67.0,32.1,1644779873.0
-MvoWJpdcUdjk9gzQDAH,7.11035,69.0,31.8,1644779883.0
-MvoWMJdF1y6sq09IILM,6.74635,57.0,31.3,1644779893.0
-MvoWOhvFf_3C3VrTnjP,7.15202,48.0,30.6,1644779903.0
-MvoWR9Ls0qOzqYnKgQd,7.11035,45.0,29.9,1644779913.0
-MvoWTa_45MSUN0qY-Lk,7.16597,42.0,29.4,1644779923.0
-MvoWW1h6uY6j3ZoebUa,7.00044,40.0,28.8,1644779933.0
-MvoWYU-oPRtIoHfqqTT,7.19395,39.0,28.4,1644779943.0
-MvoWa0ZV4kipi7xfnm0,6.79904,39.0,27.9,1644779953.0
-MvoWcMULjV2z-G8prOU,7.1381,39.0,27.4,1644779963.0
-MvoWenlXxC4mLP6Z7DZ,7.1381,39.0,27.0,1644779973.0
-MvoWhF2a8EvKCyEuNcZ,7.1381,39.0,26.5,1644779983.0
-MvoWjgHlsT1gtfmy3aU,6.94614,39.0,26.2,1644779993.0
-MvoWm7ZEqZCIdxhOdJ9,7.16597,39.0,25.8,1644780003.0
-MvoWos97re4CMvKTD-y,6.9057,39.0,25.4,1644780013.0
-MvoWr07_b1ZPw4AFiiN,7.15202,39.0,25.1,1644780023.0
-MvoWtSNI5BrndwIIkAU,7.32124,39.0,24.8,1644780033.0
-MvoWvtdKUokCHlSq8AV,7.20798,39.0,24.6,1644780043.0
-MvoWyKqa_KMGTrVpGT4,7.04145,40.0,24.4,1644780053.0
-MvoX-mFi8YWm-dpw4Eq,7.23612,40.0,24.2,1644780063.0
-MvoX2GFK4DRuvmQuzlP,6.64222,40.0,24.0,1644780073.0
-MvoX4efXVo7aTgG6OT9,7.1381,41.0,23.8,1644780083.0
-MvoX762D3eblJPqfNmX,7.15202,41.0,23.7,1644780093.0
